state,year,scrn.in,scrn.out
AL,2007,18710,11752
AK,2007,4906,4869
AZ,2007,33188,245
AR,2007,27846,12338
CA,2007,232297,107006
CO,2007,31520,34306
CT,2007,,
DE,2007,5693,1613
DC,2007,4506,382
FL,2007,154951,104913
GA,2007,48965,14656
HI,2007,,
ID,2007,,
IL,2007,,
IN,2007,41900,27071
IA,2007,23093,16754
KS,2007,16912,14490
KY,2007,48600,15012
LA,2007,,
ME,2007,6710,9968
MD,2007,,
MA,2007,39801,27992
MI,2007,,
MN,2007,18993,37588
MS,2007,17871,9093
MO,2007,54635,47944
MT,2007,8699,4153
NE,2007,11290,11760
NV,2007,16342,6150
NH,2007,6834,9516
NJ,2007,,
NM,2007,14853,15277
NY,2007,,
NC,2007,,
ND,2007,,
OH,2007,,
OK,2007,35873,27092
OR,2007,26381,37123
PA,2007,,
RI,2007,7710,4733
SC,2007,18337,8956
SD,2007,3627,10854
TN,2007,,
TX,2007,166584,35431
UT,2007,20386,12038
VT,2007,2564,9763
VA,2007,30196,27864
WA,2007,35262,39119
WV,2007,21962,9851
WI,2007,26978,27726
WY,2007,2442,2628
AL,2008,19605,12418
AK,2008,7846,5662
AZ,2008,29572,399
AR,2008,27824,12477
CA,2008,244194,107764
CO,2008,34164,36977
CT,2008,,
DE,2008,6274,2415
DC,2008,4694,616
FL,2008,173218,81475
GA,2008,32430,13559
HI,2008,,
ID,2008,6783,8697
IL,2008,,
IN,2008,66690,24548
IA,2008,,
KS,2008,16823,14126
KY,2008,49976,21747
LA,2008,21405,15533
ME,2008,6216,9975
MD,2008,,
MA,2008,44307,27123
MI,2008,71820,44910
MN,2008,18608,34731
MS,2008,19063,10827
MO,2008,49129,49557
MT,2008,7988,4253
NE,2008,12472,10721
NV,2008,14332,5989
NH,2008,8031,9336
NJ,2008,,
NM,2008,14469,17128
NY,2008,,
NC,2008,,
ND,2008,4011,4324
OH,2008,,
OK,2008,34940,30717
OR,2008,27485,37975
PA,2008,,
RI,2008,6356,5168
SC,2008,18206,9026
SD,2008,3589,10816
TN,2008,61346,35878
TX,2008,169628,35288
UT,2008,19922,11684
VT,2008,2359,10064
VA,2008,28969,28715
WA,2008,35693,38734
WV,2008,23103,10224
WI,2008,26382,30053
WY,2008,2398,2775
AL,2009,18651,20286
AK,2009,6100,7466
AZ,2009,32136,914
AR,2009,30381,11547
CA,2009,235812,110316
CO,2009,33978,37362
CT,2009,24937,16971
DE,2009,5862,3378
DC,2009,6593,883
FL,2009,153733,50469
GA,2009,28095,11740
HI,2009,,
ID,2009,6966,8187
IL,2009,,
IN,2009,67505,15541
IA,2009,24940,17577
KS,2009,17942,15296
KY,2009,47633,22352
LA,2009,22804,14730
ME,2009,6288,9604
MD,2009,28929,24708
MA,2009,42447,27915
MI,2009,75441,45536
MN,2009,17678,36232
MS,2009,19717,10595
MO,2009,49755,47746
MT,2009,8148,5888
NE,2009,13532,11255
NV,2009,12241,5759
NH,2009,7880,9442
NJ,2009,,
NM,2009,14535,15700
NY,2009,,
NC,2009,,
ND,2009,3886,4633
OH,2009,78098,55456
OK,2009,29408,34816
OR,2009,28584,39301
PA,2009,,
RI,2009,6110,4695
SC,2009,17721,9752
SD,2009,3920,11454
TN,2009,57143,33204
TX,2009,170576,33527
UT,2009,20534,11439
VT,2009,3215,9950
VA,2009,30364,29631
WA,2009,30405,39788
WV,2009,22249,11802
WI,2009,25543,30840
WY,2009,2669,2780
AL,2010,19900,259
AK,2010,5240,9176
AZ,2010,25580,34902
AR,2010,34532,11340
CA,2010,228535,115258
CO,2010,32969,39849
CT,2010,25777,19536
DE,2010,6681,4403
DC,2010,5806,462
FL,2010,151441,41898
GA,2010,26011,12567
HI,2010,,
ID,2010,6643,8244
IL,2010,,
IN,2010,66735,28413
IA,2010,24982,18043
KS,2010,17379,14998
KY,2010,49141,23885
LA,2010,21822,16820
ME,2010,6077,9501
MD,2010,26294,18835
MA,2010,39825,32210
MI,2010,77286,38862
MN,2010,17803,38085
MS,2010,19976,8690
MO,2010,50969,50045
MT,2010,7419,5500
NE,2010,13138,13771
NV,2010,12108,6541
NH,2010,7909,5161
NJ,2010,,
NM,2010,16622,13691
NY,2010,,
NC,2010,,
ND,2010,3871,4153
OH,2010,71811,67268
OK,2010,28583,36210
OR,2010,29021,42865
PA,2010,,
RI,2010,6825,4965
SC,2010,18803,10084
SD,2010,3838,11390
TN,2010,59487,29538
TX,2010,175168,32797
UT,2010,20043,11650
VT,2010,3795,10483
VA,2010,33996,30743
WA,2010,34621,41039
WV,2010,17686,14558
WI,2010,26521,34205
WY,2010,3213,3023
AL,2011,18700,266
AK,2011,5669,9909
AZ,2011,31364,20189
AR,2011,33670,11986
CA,2011,238139,113347
CO,2011,31603,39144
CT,2011,29780,17462
DE,2011,7347,6437
DC,2011,6190,537
FL,2011,167212,41225
GA,2011,22194,11529
HI,2011,,
ID,2011,6545,8308
IL,2011,,
IN,2011,61473,55153
IA,2011,28810,20545
KS,2011,20566,13829
KY,2011,49459,19901
LA,2011,26255,17410
ME,2011,6513,9003
MD,2011,27315,26112
MA,2011,37799,35495
MI,2011,83320,40246
MN,2011,18186,39999
MS,2011,19774,6536
MO,2011,58782,41979
MT,2011,7536,4506
NE,2011,13489,15662
NV,2011,13667,11274
NH,2011,8671,4773
NJ,2011,,
NM,2011,16992,14940
NY,2011,,
NC,2011,,
ND,2011,3798,4734
OH,2011,80875,70857
OK,2011,29736,37530
OR,2011,32169,42010
PA,2011,,
RI,2011,6477,5359
SC,2011,17444,10393
SD,2011,3907,11716
TN,2011,59288,34511
TX,2011,178605,33344
UT,2011,18821,14566
VT,2011,3385,10499
VA,2011,32566,32030
WA,2011,35798,40194
WV,2011,17225,16220
WI,2011,27060,37115
WY,2011,3040,3090
AL,2012,20599,302
AK,2012,7048,9940
AZ,2012,34815,22431
AR,2012,35346,14122
CA,2012,231940,123982
CO,2012,31066,43171
CT,2012,24646,18133
DE,2012,7673,9048
DC,2012,6647,845
FL,2012,167742,60032
GA,2012,52876,17636
HI,2012,,
ID,2012,,
IL,2012,68625,0
IN,2012,73007,48062
IA,2012,28460,24504
KS,2012,22096,14299
KY,2012,51296,18749
LA,2012,24650,21565
ME,2012,7782,9772
MD,2012,26148,29627
MA,2012,37678,37761
MI,2012,91274,43619
MN,2012,18721,45870
MS,2012,24064,6427
MO,2012,62880,16857
MT,2012,7593,5577
NE,2012,12730,17960
NV,2012,12873,11543
NH,2012,9089,4954
NJ,2012,60615,0
NM,2012,16279,16236
NY,2012,,
NC,2012,,
ND,2012,3778,0
OH,2012,81036,79257
OK,2012,31571,34619
OR,2012,23972,37930
PA,2012,,
RI,2012,6771,5509
SC,2012,20569,7217
SD,2012,3550,12471
TN,2012,62759,42206
TX,2012,168443,35132
UT,2012,18979,17374
VT,2012,3508,11106
VA,2012,33343,34289
WA,2012,37422,41578
WV,2012,18572,17341
WI,2012,27122,43868
WY,2012,3239,3239
AL,2013,19715,246
AK,2013,6670,8520
AZ,2013,42547,20739
AR,2013,34267,17464
CA,2013,232185,128694
CO,2013,29999,49704
CT,2013,19031,19406
DE,2013,6916,10354
DC,2013,6231,1604
FL,2013,160507,65809
GA,2013,55362,21216
HI,2013,,
ID,2013,7475,8929
IL,2013,66528,0
IN,2013,95140,65738
IA,2013,25207,23414
KS,2013,23457,15338
KY,2013,55186,22870
LA,2013,25788,16215
ME,2013,8630,9126
MD,2013,24676,28978
MA,2013,37867,37693
MI,2013,86997,50878
MN,2013,20316,49006
MS,2013,22234,5799
MO,2013,61699,16507
MT,2013,7137,6140
NE,2013,10700,20676
NV,2013,12970,12116
NH,2013,8741,4900
NJ,2013,59151,0
NM,2013,18128,13576
NY,2013,,
NC,2013,,
ND,2013,3779,0
OH,2013,80472,86111
OK,2013,35678,24208
OR,2013,28522,37197
PA,2013,,
RI,2013,6760,5800
SC,2013,22772,4834
SD,2013,2676,13003
TN,2013,60100,42648
TX,2013,164085,34542
UT,2013,19493,18155
VT,2013,4079,11690
VA,2013,32384,37695
WA,2013,37501,47595
WV,2013,18965,17919
WI,2013,25286,42961
WY,2013,3317,3455
AL,2014,20921,283
AK,2014,7344,7697
AZ,2014,41208,17341
AR,2014,32111,19295
CA,2014,230763,135283
CO,2014,28580,47447
CT,2014,19966,19147
DE,2014,6722,10571
DC,2014,5452,4692
FL,2014,162550,60170
GA,2014,68350,23503
HI,2014,,
ID,2014,7769,9173
IL,2014,67002,0
IN,2014,104513,67394
IA,2014,23620,24532
KS,2014,23598,15398
KY,2014,54688,29248
LA,2014,26742,17504
ME,2014,9272,8493
MD,2014,22793,28559
MA,2014,47591,30383
MI,2014,78930,55426
MN,2014,20792,51184
MS,2014,22706,5261
MO,2014,67442,16942
MT,2014,7076,6668
NE,2014,11381,20165
NV,2014,14058,14849
NH,2014,9289,5895
NJ,2014,58603,0
NM,2014,20834,15940
NY,2014,,
NC,2014,,
ND,2014,,
OH,2014,79241,90567
OK,2014,37218,37034
OR,2014,27082,37772
PA,2014,,
RI,2014,7482,5605
SC,2014,23936,5926
SD,2014,2722,12841
TN,2014,76151,42598
TX,2014,173804,39644
UT,2014,20378,17892
VT,2014,3919,13405
VA,2014,32874,38805
WA,2014,36196,52039
WV,2014,19279,16073
WI,2014,26078,44828
WY,2014,3205,3606
